case,direction,weather,reference_plan,variant_plan,reference_experiment_id,variant_experiment_id,samples_per_point,budget_A,budget_B,A_initial_soldier,A_initial_spearman,A_initial_archer,A_initial_knight,B_initial_soldier,B_initial_spearman,B_initial_archer,B_initial_knight,reference_A_wins,variant_A_wins,reference_A_win_rate,variant_A_win_rate,delta_A_win_rate,reference_mean_rounds,variant_mean_rounds,delta_mean_rounds,reference_A_raw_dead,variant_A_raw_dead,reference_B_raw_dead,variant_B_raw_dead,reference_A_budget_lost,variant_A_budget_lost,reference_B_budget_lost,variant_B_budget_lost,reference_request_sha256,variant_request_sha256
mono-b360000-soldier-soldier,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,a4f195db3fb8455cdeb742bf,0375ef8a07076e9dcf449b3e,2000,360000,360000,36000,0,0,0,36000,0,0,0,975,975,0.4875,0.4875,0,20,20,0,4787.778,4787.613,4786.2715,4785.2735,0.039369263888889,0.039371486111111,0.03957375,0.039575027777778,587a0b6c8fbf92e9e393e63a374c6bdc95fc594470b7c8ee42ee3df5c4a6b8ef,0dead859d58ae8ddc4564385ae61e293817a28009ecd6879f72be88649c6fd5b
mono-b360000-soldier-soldier,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,a4f195db3fb8455cdeb742bf,0375ef8a07076e9dcf449b3e,2000,360000,360000,36000,0,0,0,36000,0,0,0,987,985,0.4935,0.4925,-0.001,20,20,0,4787.778,4787.613,4786.2715,4785.2735,0.039423944444444,0.039416694444444,0.039519944444444,0.039530458333333,cab79020193af6f55744135f0197a1630e3c2215411e9bdd269a836e052ec646,5c422409f27276ffafec2ddf007d310742bc9f6cbf641685691f7a84c6ceb8be
mono-b12000-archer-archer,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,792e7655a90072d5129119df,16c43b1d054d69d926702f59,2000,11970,11970,0,0,171,0,0,0,171,0,2000,2000,1,1,0,2.008,2.008,0,0.8695,0.8695,97.458,97.458,0.049804093567251,0.049804093567251,0.050380116959064,0.050380116959064,a5cef95da0740171d974b1b8238a058e26fade3fe8a8f09d6de3182d2fb25476,7d081da7e34f23f2c1a714af91c12655a16b1a0853379ee28f00cb084801ba48
mono-b12000-archer-archer,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,792e7655a90072d5129119df,16c43b1d054d69d926702f59,2000,11970,11970,0,0,171,0,0,0,171,0,0,0,0,0,0,2.0075,2.0075,0,97.39,97.39,0.8195,0.8195,0.050093567251462,0.050093567251462,0.050266081871345,0.050266081871345,22588da900fbea8c00b87d769132d035359f1c3deae9b763847a866d744b79ff,f552f7175967a49ba790887ae01104abe5ba670d1f9cdcc08570e2ecc1900e10
mono-b12000-knight-knight,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,756c9af6c88c309d75372f93,22864359c31c93557d478609,2000,11550,11550,0,0,0,21,0,0,0,21,871,871,0.4355,0.4355,0,1.0655,1.0655,0,11.595,11.595,11.589,11.589,0.049071428571429,0.049071428571429,0.050714285714286,0.050714285714286,1178f1206facb99d474deb6896610eb381b51065a110d670b64abf6c01184760,db57871f932c54d84b9d13ec5910213b7baaaecba87b83a89609f7fd9a239614
mono-b12000-knight-knight,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,756c9af6c88c309d75372f93,22864359c31c93557d478609,2000,11550,11550,0,0,0,21,0,0,0,21,1131,1131,0.5655,0.5655,0,1.0655,1.0655,0,11.595,11.595,11.589,11.589,0.049071428571429,0.049071428571429,0.050714285714286,0.050714285714286,db8d3921ad4c7ffbcfdfcbf53d72da2e8c438f83b03f5de5e5b8aab344978ab5,b668fa44274d1417636bfc104a38c5092d30573a0402f419c84d6ed80abc5fea
mono-b120000-soldier-spearman,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,b629227e6f0d4b2bcee036e7,2844ff6e12baf782abce16f8,2000,120000,119980,12000,0,0,0,0,1714,0,0,0,0,0,0,0,13,13,0,4471.004,4471.004,0.0035,0,0.032694083333333,0.032694083333333,0.049761960326721,0.049753792298716,e1e29aab7102365136b614a54a8aeb0bee449145f3bc465a205963f9f554f006,573023abbd91be7faf28e63c679b7f6a91281e685ca10db7f329cb072853e0fe
mono-b120000-soldier-spearman,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,b629227e6f0d4b2bcee036e7,2844ff6e12baf782abce16f8,2000,120000,119980,12000,0,0,0,0,1714,0,0,795,0,0.3975,0,-0.3975,20,20,0,3299.9845,3423.8545,462.703,18.8635,0.038560458333333,0.036132958333333,0.050139731621937,0.050021295215869,0c2b4bb54f68750a49827995ac5ca7c41b885ac68f663af9b71cf4658f802372,708ffc59011b79a2abfe7893c7182228905bb3eadf5e6f1d322512b97aedd162
mono-b360000-soldier-spearman,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,2966d929c45d9acc4fbb91a1,2e75d28a9941b789c76a118e,2000,360000,359940,36000,0,0,0,0,5142,0,0,0,0,0,0,0,13,13,0,13412.643,13412.643,0,0,0.032674027777778,0.032674027777778,0.049814080124465,0.04980309218203,7021d39476c082c69391aa7d9d107c8598ae66c5b1828c73e129c275542d42fb,20a784eb3a1a44ff197079caaa686550b10e1be11d07920d2827fcb101c72dd3
mono-b360000-soldier-spearman,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,2966d929c45d9acc4fbb91a1,2e75d28a9941b789c76a118e,2000,360000,359940,36000,0,0,0,0,5142,0,0,671,0,0.3355,0,-0.3355,20,20,0,9898.754,10272.2,1386.0605,56.942,0.038085333333333,0.036101805555556,0.050128646441074,0.05003685336445,0a6998a19d108d4ea47989fe9c9346eb6b099ed85b399e3702e1d1add2785d07,8690bc01a0faad433eb8c05aa5fc86618a82ccb8d5c46c2cbf35ea74c93d4b1c
mono-b12000-soldier-soldier,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,fb6f2352b28b313d79cdc77b,3400f3e93ddcd0e0f3b08784,2000,12000,12000,1200,0,0,0,1200,0,0,0,961,964,0.4805,0.482,0.0015,20,20,0,159.737,159.843,159.5675,159.375,0.0394925,0.039539583333333,0.039681666666667,0.03959875,6d407622c60b016795f97c89a6a5574696df9124c61c66dd231ce4e7c7aa2393,5926a28e7eb11c3e0d557d1b3fe33f5b8ae192e49f2952d965993ffcb991765f
mono-b12000-soldier-soldier,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,fb6f2352b28b313d79cdc77b,3400f3e93ddcd0e0f3b08784,2000,12000,12000,1200,0,0,0,1200,0,0,0,1005,1014,0.5025,0.507,0.0045,20,20,0,159.737,159.843,159.5675,159.375,0.039685416666667,0.039752083333333,0.039483333333333,0.039375416666667,5b40b5d08240a3cb41ac0662b746bf7848264fd5d59a18b9cccd174e1c8a970f,960d6ebc8a5027a72fab884da1d1f5097f2601ddb6ebf232c0d23e4b7fe79de2
mono-b360000-archer-knight,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,2a7e9b14ebf8dc6314c7cd99,36f0275997ad7999839732e6,2000,359940,359700,0,0,5142,0,0,0,0,654,0,0,0,0,0,1,1,0,2289.009,2289.009,0,0,0.022297257876313,0.022297257876313,0.050082568807339,0.050082568807339,092ff6440ba52367b900849f38396771039917fdafcad50e5a9b3669a0a1a448,d62c77132a986bb53c4a43f8b84aa2fc79696def0ffee3a11c0eb3a26bc0545c
mono-b360000-archer-knight,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,2a7e9b14ebf8dc6314c7cd99,36f0275997ad7999839732e6,2000,359940,359700,0,0,5142,0,0,0,0,654,0,0,0,0,0,1,1,0,2289.009,2289.009,0,0,0.022297257876313,0.022297257876313,0.050082568807339,0.050082568807339,40e5890746cdbe0ba659fc1854a9e8c3218947407cf39f571ec0b4f63dfcca5c,bd1abe5289291f5429078d09e0856b1db73b0f6030836d8d06887d01f5ff025e
mono-b120000-soldier-soldier,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,661a8ff748ea7a9cd091d244,3f15fffe5c79bd32e7b22a07,2000,120000,120000,12000,0,0,0,12000,0,0,0,991,969,0.4955,0.4845,-0.011,20,20,0,1595.908,1596.2295,1595.5725,1594.361,0.039481541666667,0.03938075,0.039521041666667,0.039615875,647ab88a83aa6f834990989ca24911ddf969595c4a5f5d85e2c151fdaebac92b,cffa24426169994178f7c6a2588f099ce242d3172b295ee1d207cc987b2a56c2
mono-b120000-soldier-soldier,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,661a8ff748ea7a9cd091d244,3f15fffe5c79bd32e7b22a07,2000,120000,120000,12000,0,0,0,12000,0,0,0,997,985,0.4985,0.4925,-0.006,20,20,0,1595.908,1596.2295,1595.5725,1594.361,0.039508041666667,0.039453416666667,0.039494,0.039545833333333,cb5849664fb65ac00466aa61563a1f9baace77ad985b9c02a92e371cf45b1603,e3697fcd6eb8f0eb39a6515bee7dc35c5ef3f69cf102901f9eacf90b53a874c3
mono-b120000-archer-archer,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,c0d6109c05e457458b0bda00,4aad26f4cbf4c70841ce1f4b,2000,119980,119980,0,0,1714,0,0,0,1714,0,2000,2000,1,1,0,2,2,0,0,0,963.358,963.358,0.050003208868145,0.050003208868145,0.050086931155193,0.050086931155193,6b4a529fbc125b23882833e0aed634bec1b5f0b2174c3e7ece269e3168b0f82f,7a24ba3fbd4b11a5695485bf824cae05313c91fa64afba37972f4727e74eef11
mono-b120000-archer-archer,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,c0d6109c05e457458b0bda00,4aad26f4cbf4c70841ce1f4b,2000,119980,119980,0,0,1714,0,0,0,1714,0,0,0,0,0,0,2,2,0,963.591,963.591,0,0,0.050052508751459,0.050052508751459,0.050048424737456,0.050048424737456,7e4672019367fb02f1f4413e94829b3f5c23d2fa9d1ba5802105a04a62fdf6a1,248d7d8c7e0580c7c4b435a6d58ca479c4cf4032082983fe99f3185b84e8aafe
mono-b120000-soldier-knight,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,6b6e99381358a325560d60d8,4c37bca004f8bdad65a801b5,2000,120000,119900,12000,0,0,0,0,0,0,218,0,0,0,0,0,6,6,0,4578.001,4578.046,0.805,0.028,0.019100375,0.019101208333333,0.050082568807339,0.050038990825688,f5eaa97da71df5298d7c5b30554bec43da7311247b6bf61d3299b38dd99ce886,ba0dce7f2fd0f5c288b6891e31ddf456e408f68d84dd97e7d2f1c84a235ed036
mono-b120000-soldier-knight,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,6b6e99381358a325560d60d8,4c37bca004f8bdad65a801b5,2000,120000,119900,12000,0,0,0,0,0,0,218,0,0,0,0,0,6,6,0,4578.001,4578.046,0.805,0.028,0.019100375,0.019101208333333,0.050082568807339,0.050038990825688,6a49a491a5ff72a4b8db0cc1fcd37742813f1f1a76d4b11bb02af21e20d1e1ce,dbb84e4c10e25d38dca29dccec5ff8d440e940364ca235692cdad1da033589a4
mono-b360000-soldier-archer,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,9802772d7860e32c1eb45bbc,4cf74ebb2e80d29d51e498d4,2000,360000,359940,36000,0,0,0,0,0,5142,0,0,0,0,0,0,8,8,0,13585.641,13806.4325,847.792,147.2495,0.039586,0.039745222222222,0.049883605600933,0.049866005445352,3d79ed5983c89d0022c51a128734a7b36a8941c07b48f432dd6f260a0059cec7,4849088e42e0ee0c6e5cb62644c475b297d8db00647865926824f12fcc3566ad
mono-b360000-soldier-archer,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,9802772d7860e32c1eb45bbc,4cf74ebb2e80d29d51e498d4,2000,360000,359940,36000,0,0,0,0,0,5142,0,0,0,0,0,0,5,5,0,15743.9995,15743.9995,0,0,0.036148791666667,0.036148791666667,0.046806009334889,0.046806301050175,b539cabaf72f26f266d867628052db7ffc7cfa333da902e943ce8bd34a752c17,d164fdcdf301d075136bc9f39d1a72916a04672b1e6a427b36df4b6828104a5f
mono-b120000-archer-knight,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,d57e878bd7d93557ed0eafe5,692f494b4ad73a4844111690,2000,119980,119900,0,0,1714,0,0,0,0,218,0,0,0,0,0,1,1,0,762.9905,762.9905,0,0,0.022257001166861,0.022257001166861,0.050036697247706,0.050036697247706,4597ad24b5a2e47b6a7dce9496a9b6f4b1f246dce33a40845b0982a200fb8806,8b87976dfac4c50107cdcf1cedad4662672a1abf74641f33a7e92355e83091c1
mono-b120000-archer-knight,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,d57e878bd7d93557ed0eafe5,692f494b4ad73a4844111690,2000,119980,119900,0,0,1714,0,0,0,0,218,0,0,0,0,0,1,1,0,762.9905,762.9905,0,0,0.022257001166861,0.022257001166861,0.050036697247706,0.050036697247706,7c1e87a0769464bd834f5d84f3fd33eaf9071aabdb90673a4cec8f5b7383d2cf,0f072e6a08e7477bb0bdbe87705032774c5370266dc6ba8a00a2571163c9e2d2
mono-b12000-spearman-spearman,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,bbcd553bc7a16c61d281ba73,7451b04b4de454d56e422f0d,2000,11970,11970,0,171,0,0,0,171,0,0,0,0,0,0,0,6.9895,6.9895,0,84.766,84.766,0.0005,0.0005,0.049862573099415,0.049862573099415,0.043921052631579,0.043921052631579,85f859f840726422ec7d710e5557c9d3b6715fd7fc74bfe34607d4d92c94e777,d33577ff27952a13ad9e3ba6a894fcb034216e577b80ab64f26aabb8c9e7fb40
mono-b12000-spearman-spearman,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,bbcd553bc7a16c61d281ba73,7451b04b4de454d56e422f0d,2000,11970,11970,0,171,0,0,0,171,0,0,2000,2000,1,1,0,6.994,6.994,0,0.0005,0.0005,85.124,85.124,0.04390350877193,0.04390350877193,0.049608187134503,0.049608187134503,03908c0fa4ced8ca60a7e0fb3a0f39260e015950626c7db85dad0402f2d3619e,0ce8e01085ac1ea2fa34f4c5c3fd13e94333d5fd3910d9a3dec0138873be2bbf
mono-b120000-spearman-archer,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,fc99451412d760a76f235ab5,770e6573783e3bdaf5f09e86,2000,119980,119980,0,1714,0,0,0,0,1714,0,0,0,0,0,0,7,7,0,1117.74,1117.74,790.8055,790.8055,0.050101516919487,0.050101516919487,0.049973745624271,0.049973745624271,54b8eb5652e7a14e2d23dbf5a122ee8f8758e3e126c18b1c2077bfe200269275,4964ab1337328f13d5419672464d1521a061e573536ceca189e7afc30c926f49
mono-b120000-spearman-archer,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,fc99451412d760a76f235ab5,770e6573783e3bdaf5f09e86,2000,119980,119980,0,1714,0,0,0,0,1714,0,2000,2000,1,1,0,4,4,0,0,0,936.737,936.737,0.05003821470245,0.05003821470245,0.049391773628938,0.049391773628938,078641e562821c4012d1a24d08878af3f97f45aea622350727a2eb5edcbd524c,0de99a52dc88c07896274c4bfce55f5767a71dd5a190e8b02a7897ab0c4ef349
mono-b12000-soldier-spearman,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,f822d4aff4a7641ffc78118c,7a64088fff80051b445ab0c0,2000,12000,11970,1200,0,0,0,0,171,0,0,0,0,0,0,0,13.038,13.0375,-0.00050000000000061,447.59,447.5515,0.0385,0.0015,0.032676666666667,0.032677083333333,0.04977485380117,0.049795321637427,2a1d1503a117713d05836a468b6a0d0d39d7d08702d9ca68ffe56c89d6f08704,7160a9f658d1541f7bfba89fe94752f57738e349851f7c7d2a381c3b9c05a71a
mono-b12000-soldier-spearman,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,f822d4aff4a7641ffc78118c,7a64088fff80051b445ab0c0,2000,12000,11970,1200,0,0,0,0,171,0,0,1009,0,0.5045,0,-0.5045,19.9985,20,0.0015000000000001,328.353,340.9935,47.3695,2.143,0.039314166666667,0.036122916666667,0.050271929824561,0.050125730994152,cdd056f355bfd3009ca6798847f425d092b2fa95fee94cbb9f1b9d30918fd936,2cb557fce98d8bb8c213139386ae3e833dc506fc3688dac194a873d3bf83089b
mono-b360000-spearman-knight,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,c74521cdf2ea33fab967be56,7f2180a72c2d2f1ade61a84a,2000,359940,359700,0,5142,0,0,0,0,0,654,366,366,0.183,0.183,0,3,3,0,2428.6265,2428.6265,264.8825,264.8825,0.043178626993388,0.043178626993388,0.050066513761468,0.050066513761468,7d7abac10e512ec2c70d5d25a59d0d144ba2b19ce4372cc4f09baf310123eafb,98b7e40dc13072cae20619ac747e7e37e7b0ad37302e11c31fa306a3710e9b1b
mono-b360000-spearman-knight,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,c74521cdf2ea33fab967be56,7f2180a72c2d2f1ade61a84a,2000,359940,359700,0,5142,0,0,0,0,0,654,2000,2000,1,1,0,2,2,0,1018.6605,1018.6605,654,654,0.034626507195644,0.034626507195644,0.049916666666667,0.049916666666667,75facca78d59da8acebf5520dc1aec84674008dca00e85ffe5137a6371d683bd,bd84d2288e8f00d7199d5223c1d1df302e60c5fd2c50e831d54ebe75eda5bc2d
mono-b120000-knight-knight,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,9d120abae119d9be63a895bd,981784f27c8fb2fce24c3b70,2000,119900,119900,0,0,0,218,0,0,0,218,963,963,0.4815,0.4815,0,1,1,0,109.398,109.398,108.7785,108.7785,0.050071100917431,0.050071100917431,0.049965596330275,0.049965596330275,9858c7ffa1a6a847079e50482789f9a042cfeb281ada503d2c73d74b65c9d985,b8881480e6494cd4fd175037481f766e579aca45a9a596a7c8b34761df6471d7
mono-b120000-knight-knight,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,9d120abae119d9be63a895bd,981784f27c8fb2fce24c3b70,2000,119900,119900,0,0,0,218,0,0,0,218,1004,1004,0.502,0.502,0,1,1,0,109.398,109.398,108.7785,108.7785,0.050071100917431,0.050071100917431,0.049965596330275,0.049965596330275,151989b8d1b1c0ca759fab7eaf3b152abc03724944a1ef9ad70118e7a90322e4,978bf771335c8a075318af41c179abc9bee6aee4f66cdc87dc8d756084b83e37
mono-b12000-archer-knight,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,24330e2350e98778d4491ee1,9a4e7c8c9e0cfa63ad9c3f39,2000,11970,11550,0,0,171,0,0,0,0,21,6,6,0.003,0.003,0,1.003,1.003,0,73.7485,73.7485,0.063,0.063,0.021663742690058,0.021663742690058,0.051,0.051,35be79c5c128b6e4343bfeefa1db2f2aeb0a0150c17aa99303e7622a603c351b,b2dd8fe578ca21725b804319c140f743c460180758d837eb31f57c63acc945e2
mono-b12000-archer-knight,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,24330e2350e98778d4491ee1,9a4e7c8c9e0cfa63ad9c3f39,2000,11970,11550,0,0,171,0,0,0,0,21,2,2,0.001,0.001,0,1.003,1.003,0,73.7485,73.7485,0.041,0.041,0.021663742690058,0.021663742690058,0.05102380952381,0.05102380952381,49d4b23c42e173b1bcdc7cd48f22932e3a82504dd30129431f21b83876d94cb2,a8158166d7f73f8c10a24ea70a8077fe4871c7094c7690814561c5150648fc90
mono-b360000-knight-knight,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,548ad3149b35bdd498f1e720,a8c3c9c2395d0ba74d0557ac,2000,359700,359700,0,0,0,654,0,0,0,654,986,986,0.493,0.493,0,1,1,0,327.812,327.812,327.23,327.23,0.050105504587156,0.050105504587156,0.049980122324159,0.049980122324159,87844e416d861f5c9ead6ab9b78dcfb00006427ddc351bd0388c1eabd412ea8d,517e58c858deefe72a5f9fd96d9f420c356082e9f0ab6b14410607cbd459683b
mono-b360000-knight-knight,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,548ad3149b35bdd498f1e720,a8c3c9c2395d0ba74d0557ac,2000,359700,359700,0,0,0,654,0,0,0,654,1003,1003,0.5015,0.5015,0,1,1,0,327.812,327.812,327.23,327.23,0.050105504587156,0.050105504587156,0.049980122324159,0.049980122324159,e137c8706ef5acd42c2d3113acb60f6a980b709cb9423e1758161e5fa6ce3ea3,ee63506adcbcdae0ddc957024fbcc5ca91ae06790db2d2ae4e7e99aeb0507b45
mono-b360000-soldier-knight,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,cb7b28b15b36471aafbe16d8,ac06022951f8e4527897727b,2000,360000,359700,36000,0,0,0,0,0,0,654,0,0,0,0,0,6,6,0,13734.0145,13734.036,0.881,0.0155,0.019087388888889,0.019087416666667,0.050131498470948,0.050085626911315,4970d1f6b5265fad201517f3825ff40d79aa8b20306bc545f88c8e11a313708e,04e3a4b9243b4581288ba9263c4fa5f01a46b01711fe9cc475e445297bf3e234
mono-b360000-soldier-knight,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,cb7b28b15b36471aafbe16d8,ac06022951f8e4527897727b,2000,360000,359700,36000,0,0,0,0,0,0,654,0,0,0,0,0,6,6,0,13734.0145,13734.036,0.881,0.0155,0.019087388888889,0.019087416666667,0.050131498470948,0.050085626911315,0243eeadabcc14bc5e95fa1b391f9a0fbfc6c55db116c0e75d961227e7785c42,a14a282077feef71deb5b4ea7ed1a77e0e0e1b3091f8d313c941a169e080c452
mono-b12000-soldier-archer,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,82fe7cea859b89eeeb66053b,b7d568e586eab5dca04980c8,2000,12000,11970,1200,0,0,0,0,0,171,0,18,0,0.009,0,-0.009,8.0845,8.0395,-0.045,459.804,462.899,31.169,5.408,0.039724166666667,0.039818333333333,0.049982456140351,0.050038011695906,00f252d5722657943a4cb0718ce0da7e8a4611896fa35ea5621c1322e14ef866,235176ec6621295c053ba3527b1beb6bb8cb4af9bf696a3faa830a3dbbe9cfbf
mono-b12000-soldier-archer,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,82fe7cea859b89eeeb66053b,b7d568e586eab5dca04980c8,2000,12000,11970,1200,0,0,0,0,0,171,0,0,0,0,0,0,5,5,0,522.2335,522.2335,0,0,0.0360275,0.0360275,0.047204678362573,0.047239766081871,9000dde07f557a8d66b3ea4000e55211bbd45f04e3469db5cbc747249d14ba6c,8bb782660ba3642abeb03b3e1613812e0ed17bf2a3a26a73bdf252b399df589f
mono-b12000-spearman-archer,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,77059b09796261ce58324267,c78355c802101c4bd2b6922f,2000,11970,11970,0,171,0,0,0,0,171,0,197,197,0.0985,0.0985,0,6.973,6.973,0,110.3685,110.3685,78.1895,78.1895,0.050269005847953,0.050269005847953,0.049877192982456,0.049877192982456,4227f054b87e527b1d1b0274ed1998e330c5df10704580221a9b575b4a8798c6,f268d1180103f0c8e98f73c8fe9e40b71018c8a6badec5d0176a8a04ca06ebe3
mono-b12000-spearman-archer,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,77059b09796261ce58324267,c78355c802101c4bd2b6922f,2000,11970,11970,0,171,0,0,0,0,171,0,2000,2000,1,1,0,3.999,3.999,0,0.059,0.059,93.5465,93.5465,0.049997076023392,0.049997076023392,0.049324561403509,0.049324561403509,ed29d7971438fc1a049999694ca61a2424e52dc6124815c6cadb6b6c1daaffd8,e12904c834ba2a5a5cb0fab0f40506baa9dd4c45f7346fcc4f7b2f55d4cdd603
mono-b12000-soldier-knight,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,888c243346a2fc2822e1a949,cc36927505a1dcdaa7909b46,2000,12000,11550,1200,0,0,0,0,0,0,21,204,4,0.102,0.002,-0.1,6.037,6.038,0.0010000000000003,442.797,443.455,2.8075,0.246,0.018445,0.0184575,0.051547619047619,0.051261904761905,9ca322cb96477f8f2d6b2e7673307285a8c1ac1a2124cfb6ddfbf09efb0d4075,b0967a17844ac5b166cd07ef1ecedca73482d26d983c4899d979105198773368
mono-b12000-soldier-knight,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,888c243346a2fc2822e1a949,cc36927505a1dcdaa7909b46,2000,12000,11550,1200,0,0,0,0,0,0,21,204,4,0.102,0.002,-0.1,6.037,6.038,0.0010000000000003,442.797,443.455,2.8075,0.246,0.018445,0.0184575,0.051547619047619,0.051261904761905,0ef488184d72f1f098ab6566fb80c72140d7078400dd1a9587141fe8b34a13ec,20d66b0fae2e569ea195b3b474cf578ee4f3cf82002b71d1dd3012fcf0bbfaff
mono-b360000-spearman-spearman,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,634650feba46fde2e05f79ec,d15612a1377d513b2bc65b47,2000,359940,359940,0,5142,0,0,0,5142,0,0,0,0,0,0,0,7,7,0,2557.2425,2557.2425,0,0,0.049523531699728,0.049523531699728,0.043854045118631,0.043854045118631,2bc6219638d312265f5c45e3ff80bf6b75c9c3992211780b96db52997872da32,1fd8e55ef7bdf9284043cd8cd6b8fd25b13dc2e84168116f598755245e597970
mono-b360000-spearman-spearman,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,634650feba46fde2e05f79ec,d15612a1377d513b2bc65b47,2000,359940,359940,0,5142,0,0,0,5142,0,0,2000,2000,1,1,0,7,7,0,0,0,2558.4835,2558.4835,0.043788895371451,0.043788895371451,0.049585375340334,0.049585375340334,120c55e4f29e4d0105d6cc15c34f2d0b90e315f38cd4336b4554e662eda73d66,e990dd84c868d7094f57922296ab615c5ca8ef032d1294b11ce9331754b6879f
mono-b12000-spearman-knight,A-B,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,37ac5d1a6b11bd111d215af5,d1f8085374189361bbe0c0c4,2000,11970,11550,0,171,0,0,0,0,0,21,1554,1554,0.777,0.777,0,3.002,3.002,0,75.4865,75.4865,13.732,13.732,0.042640350877193,0.042640350877193,0.0505,0.0505,b965633c898c10ac48cc0b945d886ca291a7c3df9f2bc8fbbd6924891bba8756,983a6c6a129f7c3bb0de3ec6ef465ba8ca2b4386b1dd4cc0ae197ef05c06ea98
mono-b12000-spearman-knight,B-A,blizzard,vps/M-weather-preset-neutral,vps/M-weather-preset-blizzard,37ac5d1a6b11bd111d215af5,d1f8085374189361bbe0c0c4,2000,11970,11550,0,171,0,0,0,0,0,21,2000,2000,1,1,0,2,2,0,31.4585,31.4585,21,21,0.033719298245614,0.033719298245614,0.0505,0.0505,04d26513bee41f8de98ab49cd97c992b3a0017b0ad91dc428f6066f007ce270c,e4e751d5610813159d26c30f6b32a20b3d9149f1b082627a656df91b6e317b1d
